mep,109166,110894,157271,157321,157420,160818,160956,162046,162314,164096,164186,168864
129073,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
129164,,,1,1,-1,X,X,X,1,-1,-1,-1
107212,0,-1,1,1,-1,1,1,1,0,0,0,-1
130100,1,1,1,1,-1,-1,1,1,1,-1,-1,-1
130833,1,1,-1,-1,1,X,X,X,X,X,X,X
131507,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
132366,,,1,1,-1,1,-1,1,1,-1,1,-1
136236,,,-1,-1,1,-1,1,X,1,1,-1,-1
183338,,,-1,-1,1,-1,1,-1,1,1,-1,1
183793,1,-1,1,1,-1,1,0,X,X,-1,1,X
185341,0,-1,1,1,-1,-1,1,1,1,1,-1,-1
185619,1,1,-1,-1,1,-1,1,X,1,-1,-1,1
185974,,,-1,-1,1,-1,1,-1,1,1,-1,0
188636,1,1,,,,,,,,,,
188733,0,-1,,,,,,,,,,
188945,1,-1,1,1,-1,-1,1,1,X,-1,-1,-1
189065,1,1,1,1,-1,1,1,1,1,-1,1,-1
189391,0,-1,,,,,,,,,,
189525,0,-1,1,1,-1,-1,1,1,0,0,0,-1
190099,1,1,,,,,,,,,,
190464,,,-1,-1,1,-1,1,-1,1,1,-1,1
190517,X,1,-1,-1,1,-1,1,-1,1,1,-1,1
190518,-1,-1,1,1,-1,1,-1,1,1,-1,1,-1
190519,1,1,1,1,-1,-1,1,1,1,-1,-1,-1
190713,0,-1,1,1,-1,-1,-1,1,1,0,-1,-1
190774,1,-1,1,1,-1,-1,-1,1,X,-1,-1,-1
191693,-1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1
192634,1,1,-1,-1,1,-1,1,X,1,X,X,X
192635,1,-1,1,1,-1,1,0,1,1,-1,1,X
193273,1,1,X,X,X,X,X,-1,X,1,-1,X
193292,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
193419,1,1,1,1,-1,,,,,,,
197390,1,-1,1,1,-1,-1,1,1,0,-1,-1,-1
197391,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
197392,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
197393,1,-1,1,1,-1,-1,1,1,X,X,X,-1
197394,1,1,-1,-1,1,X,X,X,1,-1,-1,-1
197395,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197396,1,1,-1,-1,1,X,X,X,X,X,X,
197398,1,1,-1,-1,1,-1,1,-1,X,1,-1,1
197399,0,1,,,,,,,,,,
197400,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1
197401,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197402,X,-1,1,1,-1,-1,1,1,0,-1,-1,-1
197403,1,1,-1,-1,1,-1,1,X,1,-1,-1,X
197404,1,-1,1,1,-1,-1,1,1,0,-1,-1,-1
197405,1,X,1,1,-1,-1,1,1,X,-1,-1,-1
197406,1,-1,1,1,-1,-1,1,1,0,-1,-1,-1
38542,1,1,,,,,,,,,,
197408,0,X,1,1,-1,-1,1,X,1,-1,-1,-1
123562,0,1,1,1,-1,1,-1,1,-1,-1,1,-1
197410,X,-1,1,1,-1,-1,1,1,1,X,X,-1
99945,-1,X,1,1,-1,0,1,X,1,-1,-1,-1
197412,-1,X,1,1,-1,-1,1,1,1,-1,-1,-1
197413,0,-1,1,1,-1,-1,1,X,1,1,-1,-1
197414,1,0,X,X,X,-1,1,X,1,-1,-1,X
197415,1,1,-1,-1,1,-1,1,X,1,1,-1,X
197416,1,1,-1,-1,1,-1,1,X,X,1,-1,X
197417,0,-1,1,1,-1,-1,1,1,1,1,-1,-1
197418,1,1,X,X,X,-1,1,-1,1,-1,-1,-1
197419,1,1,-1,-1,0,-1,1,-1,1,-1,-1,-1
197420,-1,1,,,,,,,,,,
197421,1,1,1,1,-1,X,X,1,1,-1,-1,-1
197422,0,-1,1,1,-1,-1,1,X,1,-1,-1,-1
197423,1,1,-1,-1,1,-1,1,-1,1,1,-1,X
197425,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
197426,-1,-1,1,1,-1,0,1,1,1,-1,-1,-1
197427,0,-1,1,1,-1,-1,1,1,1,-1,-1,-1
197428,1,,,,,,,,,,,
197429,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
197430,-1,1,1,1,-1,-1,0,1,1,-1,-1,-1
197431,1,1,-1,-1,1,-1,1,-1,1,1,0,1
197432,-1,1,1,1,-1,-1,1,1,1,-1,-1,-1
197433,1,1,-1,-1,1,X,X,X,1,1,-1,X
197434,1,1,-1,-1,1,-1,1,-1,X,1,X,X
197435,0,1,-1,-1,1,-1,1,-1,1,-1,-1,X
197436,X,1,1,1,-1,-1,1,1,1,,,
197437,-1,1,1,1,-1,-1,1,1,1,,,
197438,1,X,1,X,-1,1,-1,1,-1,-1,0,-1
197439,1,1,-1,-1,1,-1,1,X,1,-1,-1,1
197440,1,1,-1,-1,1,-1,1,-1,X,-1,-1,1
197441,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1
197443,-1,1,1,1,-1,-1,1,1,1,-1,-1,-1
197444,-1,1,1,1,-1,-1,1,1,1,-1,-1,-1
197445,-1,1,1,1,-1,-1,1,1,1,-1,-1,-1
197446,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197447,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197448,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197449,1,1,-1,-1,1,X,X,X,X,1,-1,X
86793,X,1,-1,-1,1,-1,1,-1,1,1,-1,1
197451,1,1,-1,-1,1,-1,1,-1,1,0,1,1
197452,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197453,1,1,-1,-1,1,-1,1,X,1,1,-1,1
106936,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197455,1,1,1,1,-1,-1,X,-1,1,-1,-1,-1
183916,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197457,X,1,-1,-1,1,-1,1,-1,1,1,-1,1
197458,-1,1,0,0,1,-1,1,-1,1,1,1,-1
197459,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197460,1,X,-1,-1,1,X,X,-1,1,1,-1,1
197461,1,1,-1,-1,1,-1,1,X,1,1,-1,1
197462,1,1,-1,-1,1,-1,1,X,1,1,-1,1
197463,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197464,1,1,-1,-1,1,-1,1,X,1,X,X,1
197465,1,1,-1,-1,1,-1,1,-1,1,0,1,1
197466,1,1,-1,-1,1,-1,1,-1,X,0,1,1
197467,X,1,1,1,1,-1,-1,X,1,-1,X,-1
197468,1,1,-1,-1,1,X,X,X,1,1,-1,1
197469,1,1,1,1,1,-1,-1,1,1,-1,1,-1
197470,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197471,1,1,,,,,,,,,,
197472,1,0,1,1,-1,1,-1,1,X,-1,1,-1
197473,0,-1,1,1,-1,-1,1,1,1,-1,-1,-1
197475,-1,-1,1,1,-1,X,X,X,X,X,X,-1
187917,1,1,-1,-1,1,-1,1,-1,1,1,-1,0
132191,-1,-1,1,1,-1,1,-1,0,0,-1,1,-1
197478,-1,-1,1,1,-1,1,-1,1,0,X,X,-1
128483,-1,-1,1,1,-1,1,-1,0,0,X,X,-1
197480,-1,-1,1,1,-1,1,-1,0,0,-1,1,-1
197481,-1,-1,1,1,-1,1,-1,0,0,X,X,X
197482,-1,-1,1,1,-1,1,-1,0,0,-1,1,-1
197483,-1,-1,1,1,-1,1,-1,0,0,-1,1,-1
197488,-1,-1,1,1,-1,1,-1,0,0,-1,1,-1
197489,-1,X,1,1,-1,1,-1,0,0,-1,1,-1
197490,X,-1,1,1,-1,-1,1,1,X,X,-1,-1
197491,0,1,X,X,X,-1,1,-1,X,-1,1,-1
197492,1,-1,1,1,-1,,,,,,,
197493,1,-1,1,1,-1,1,-1,1,0,-1,1,-1
197494,1,1,-1,-1,1,-1,1,-1,X,-1,-1,X
197495,1,1,-1,-1,1,-1,1,-1,1,0,-1,-1
197496,1,X,-1,-1,1,-1,1,-1,X,-1,-1,X
197497,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
197498,1,1,-1,-1,1,-1,1,-1,1,0,-1,1
197499,1,1,,,,,,,,,,
197500,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
97236,X,1,-1,-1,1,-1,1,-1,1,1,-1,1
197501,0,-1,1,1,-1,1,-1,1,0,1,-1,X
197502,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197503,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197504,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1
197505,1,1,-1,-1,1,-1,1,-1,X,-1,-1,-1
197506,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197507,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1
197508,1,1,-1,1,1,-1,1,-1,1,,,
197510,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
197511,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
197512,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197513,1,-1,X,X,X,0,1,1,1,-1,-1,-1
197514,1,-1,1,1,-1,-1,1,1,1,-1,-1,X
197515,1,-1,1,1,1,-1,1,1,0,-1,-1,-1
197516,0,-1,1,1,-1,1,-1,1,0,1,-1,-1
197517,1,-1,1,1,-1,X,X,X,1,X,X,-1
197518,0,-1,1,1,-1,1,-1,1,0,1,-1,-1
197519,0,-1,1,1,-1,1,-1,1,0,1,-1,-1
197520,0,-1,1,1,-1,1,-1,1,0,-1,-1,-1
197521,1,1,,,,,,,,,,
197522,1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1
197523,1,1,-1,-1,1,-1,1,-1,1,0,-1,X
118949,1,-1,1,1,-1,-1,-1,1,1,-1,0,-1
197525,1,-1,1,1,-1,-1,1,1,1,-1,-1,X
197526,1,-1,1,1,-1,-1,-1,1,1,-1,0,-1
197527,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
197528,1,-1,1,1,-1,-1,-1,1,1,-1,X,-1
197529,1,X,-1,-1,1,-1,1,-1,1,1,-1,1
197530,0,-1,1,1,-1,1,-1,1,0,-1,-1,-1
197531,1,1,-1,-1,1,-1,1,-1,-1,1,-1,1
197532,1,-1,1,1,-1,1,-1,1,0,1,-1,-1
